st_id,st_en_name,st_fa_name,st_type,major_basin,sub_basin,study_area_name,study_area_code,aquifer_name,utm_zone,utm_x,utm_y,decimal_degrees_x,decimal_degrees_y,surface_elevation,sample_type,sample_id,sample_weight,sampling_depth ,sampling_date,precipitation,evaporation,pH_field,pH_lab,EC_field,EC_lab,T_field,T_lab,Q,isotope_analysis_date,delta_H_2,delta_H_2_uncertainnity,delta_O_18,delta_O_18_uncertainnity,time,timestamp,date_gregorian,date,year,month,day,season,season_english,season_persian,month_english,month_persian,wateryear
AKH,Akhlamad,اخلمد,Rain Station,Quaraqum,Quaraqum,Mashhad Chenaran,6007,,40,674019.0234972528,4051606.0020532105,58.945394,36.594085,1493,Rain,,1,,2018-03-19,2.0,,,,,,,,,2019-09-17,-25.418902168723786,0.92,-3.6321731519083515,0.2616719354458941,00:00:00,2018-03-19,2018-03-19,1396-12-28,1396,12,28,4,Winter,زمستان,Esfand,اسفند,1396-97
AKH,Akhlamad,اخلمد,Rain Station,Quaraqum,Quaraqum,Mashhad Chenaran,6007,,40,674019.0234972528,4051606.0020532105,58.945394,36.594085,1493,Rain,,1,,2018-03-26,2.0,,,,,,,,,2019-09-18,-2.156862125408107,0.82,-0.33906218373219515,0.2979917262889469,00:00:00,2018-03-26,2018-03-26,1397-1-6,1397,1,6,1,Spring,بهار,Farvardin,فروردین,1396-97
AKH,Akhlamad,اخلمد,Rain Station,Quaraqum,Quaraqum,Mashhad Chenaran,6007,,40,674019.0234972528,4051606.0020532105,58.945394,36.594085,1493,Rain,,1,,2018-04-14,20.5,,,,,,,,,2019-09-19,-31.912730979515285,0.8114499230800788,-5.880572129613309,0.17169074966345774,00:00:00,2018-04-14,2018-04-14,1397-1-25,1397,1,25,1,Spring,بهار,Farvardin,فروردین,1396-97
AKH,Akhlamad,اخلمد,Rain Station,Quaraqum,Quaraqum,Mashhad Chenaran,6007,,40,674019.0234972528,4051606.0020532105,58.945394,36.594085,1493,Rain,,1,,2018-04-17,2.0,,,,,,,,,2019-09-20,-21.336912232328924,0.3965857578548855,-3.5792782736517,0.14463989813786982,00:00:00,2018-04-17,2018-04-17,1397-1-28,1397,1,28,1,Spring,بهار,Farvardin,فروردین,1396-97
AKH,Akhlamad,اخلمد,Rain Station,Quaraqum,Quaraqum,Mashhad Chenaran,6007,,40,674019.0234972528,4051606.0020532105,58.945394,36.594085,1493,Rain,,1,,2018-05-15,16.0,,,,,,,,,2019-09-21,-66.44602397200244,0.555638209629251,-8.755700551498398,0.3023773211706418,00:00:00,2018-05-15,2018-05-15,1397-2-25,1397,2,25,1,Spring,بهار,Ordibehesht,اردیبهشت,1396-97
AKH,Akhlamad,اخلمد,Rain Station,Quaraqum,Quaraqum,Mashhad Chenaran,6007,,40,674019.0234972528,4051606.0020532105,58.945394,36.594085,1493,Rain,,1,,2018-05-16,35.0,,,,,,,,,2019-09-22,-58.55947276114396,0.7617305997967174,-7.794129713821837,0.18669475525573814,00:00:00,2018-05-16,2018-05-16,1397-2-26,1397,2,26,1,Spring,بهار,Ordibehesht,اردیبهشت,1396-97
AKH,Akhlamad,اخلمد,Rain Station,Quaraqum,Quaraqum,Mashhad Chenaran,6007,,40,674019.0234972528,4051606.0020532105,58.945394,36.594085,1493,Rain,,1,,2018-06-02,8.5,,,,,,,,,2019-09-23,3.686766252976294,0.3668554892597355,0.4308206626742368,0.25400982031062463,00:00:00,2018-06-02,2018-06-02,1397-3-12,1397,3,12,1,Spring,بهار,Khordad,خرداد,1396-97
AKH,Akhlamad,اخلمد,Rain Station,Quaraqum,Quaraqum,Mashhad Chenaran,6007,,40,674019.0234972528,4051606.0020532105,58.945394,36.594085,1493,Rain,,1,,2018-06-03,4.0,,,,,,,,,2019-09-24,6.523951120639182,0.7489424722010807,-0.07062065940369587,0.1910510094241855,00:00:00,2018-06-03,2018-06-03,1397-3-13,1397,3,13,1,Spring,بهار,Khordad,خرداد,1396-97
AKH,Akhlamad,اخلمد,Rain Station,Quaraqum,Quaraqum,Mashhad Chenaran,6007,,40,674019.0234972528,4051606.0020532105,58.945394,36.594085,1493,Rain,,1,,2018-10-06,30.0,,,,,,,,,2019-09-25,-58.90395702433927,0.7224905833296381,-8.91533739994295,0.2302038509669197,00:00:00,2018-10-06,2018-10-06,1397-7-14,1397,7,14,3,Autumn,پاییز,Mehr,مهر,1397-98
AKH,Akhlamad,اخلمد,Rain Station,Quaraqum,Quaraqum,Mashhad Chenaran,6007,,40,674019.0234972528,4051606.0020532105,58.945394,36.594085,1493,Rain,,1,,2018-10-27,18.5,,,,,,,,,2019-09-26,-2.2934011897530593,0.7385393422154302,-0.32249970156261576,0.2158955611709831,00:00:00,2018-10-27,2018-10-27,1397-8-5,1397,8,5,3,Autumn,پاییز,Aban,آبان,1397-98
AKH,Akhlamad,اخلمد,Rain Station,Quaraqum,Quaraqum,Mashhad Chenaran,6007,,40,674019.0234972528,4051606.0020532105,58.945394,36.594085,1493,Rain,,1,,2018-10-28,12.0,,,,,,,,,2019-09-27,-43.54153390397981,0.82,-6.515111030824774,0.30355553583048545,00:00:00,2018-10-28,2018-10-28,1397-8-6,1397,8,6,3,Autumn,پاییز,Aban,آبان,1397-98
AKH,Akhlamad,اخلمد,Rain Station,Quaraqum,Quaraqum,Mashhad Chenaran,6007,,40,674019.0234972528,4051606.0020532105,58.945394,36.594085,1493,Rain,,1,,2019-02-03,11.0,,,,,,,,,2019-09-28,-52.47977866795834,0.9,-7.424179523834926,0.13186507371804987,00:00:00,2019-02-03,2019-02-03,1397-11-14,1397,11,14,4,Winter,زمستان,Bahman,بهمن,1397-98
AKH,Akhlamad,اخلمد,Rain Station,Quaraqum,Quaraqum,Mashhad Chenaran,6007,,40,674019.0234972528,4051606.0020532105,58.945394,36.594085,1493,Rain,,1,,2019-02-04,20.0,,,,,,,,,2019-09-29,-16.931703124626704,0.9943096263237138,-2.250535416234676,0.24190451628690152,00:00:00,2019-02-04,2019-02-04,1397-11-15,1397,11,15,4,Winter,زمستان,Bahman,بهمن,1397-98
AKH,Akhlamad,اخلمد,Rain Station,Quaraqum,Quaraqum,Mashhad Chenaran,6007,,40,674019.0234972528,4051606.0020532105,58.945394,36.594085,1493,Rain,,1,,2019-03-11,23.0,,,,,,,,,2019-09-30,-63.911969250535044,0.611801604007919,-9.2981299674482,0.21458970540700886,00:00:00,2019-03-11,2019-03-11,1397-12-20,1397,12,20,4,Winter,زمستان,Esfand,اسفند,1397-98
AKH,Akhlamad,اخلمد,Rain Station,Quaraqum,Quaraqum,Mashhad Chenaran,6007,,40,674019.0234972528,4051606.0020532105,58.945394,36.594085,1493,Rain,,1,,2019-03-22,12.0,,,,,,,,,2019-10-01,-18.15388858876081,0.9730294420006017,-3.6297226042858424,0.18890121074254637,00:00:00,2019-03-22,2019-03-22,1398-1-2,1398,1,2,1,Spring,بهار,Farvardin,فروردین,1397-98
AKH,Akhlamad,اخلمد,Rain Station,Quaraqum,Quaraqum,Mashhad Chenaran,6007,,40,674019.0234972528,4051606.0020532105,58.945394,36.594085,1493,Rain,,1,,2019-03-26,8.0,,,,,,,,,2019-10-02,-24.254818243527033,0.88,-4.089273751646268,0.21689884560550343,00:00:00,2019-03-26,2019-03-26,1398-1-6,1398,1,6,1,Spring,بهار,Farvardin,فروردین,1397-98
AKH,Akhlamad,اخلمد,Rain Station,Quaraqum,Quaraqum,Mashhad Chenaran,6007,,40,674019.0234972528,4051606.0020532105,58.945394,36.594085,1493,Rain,,1,,2019-03-27,20.0,,,,,,,,,2019-10-03,-12.713547386618128,0.92,-2.1705630083892617,0.2039830675570897,00:00:00,2019-03-27,2019-03-27,1398-1-7,1398,1,7,1,Spring,بهار,Farvardin,فروردین,1397-98
AKH,Akhlamad,اخلمد,Rain Station,Quaraqum,Quaraqum,Mashhad Chenaran,6007,,40,674019.0234972528,4051606.0020532105,58.945394,36.594085,1493,Rain,,1,,2019-04-06,18.0,,,,,,,,,2019-10-04,0.27473273029559725,0.9,-0.1900938993573371,0.10315783440921981,00:00:00,2019-04-06,2019-04-06,1398-1-17,1398,1,17,1,Spring,بهار,Farvardin,فروردین,1397-98
AKH,Akhlamad,اخلمد,Rain Station,Quaraqum,Quaraqum,Mashhad Chenaran,6007,,40,674019.0234972528,4051606.0020532105,58.945394,36.594085,1493,Rain,,1,,2019-04-14,14.0,,,,,,,,,2019-10-05,-16.329361359316575,0.26942930365249135,-4.179235882846538,0.08377819923265632,00:00:00,2019-04-14,2019-04-14,1398-1-25,1398,1,25,1,Spring,بهار,Farvardin,فروردین,1397-98
AKH,Akhlamad,اخلمد,Rain Station,Quaraqum,Quaraqum,Mashhad Chenaran,6007,,40,674019.0234972528,4051606.0020532105,58.945394,36.594085,1493,Rain,,1,,2019-04-15,10.0,,,,,,,,,2019-10-06,-7.060449162748793,0.8144258503182897,-1.0777442476750483,0.14387392281670308,00:00:00,2019-04-15,2019-04-15,1398-1-26,1398,1,26,1,Spring,بهار,Farvardin,فروردین,1397-98
AKH,Akhlamad,اخلمد,Rain Station,Quaraqum,Quaraqum,Mashhad Chenaran,6007,,40,674019.0234972528,4051606.0020532105,58.945394,36.594085,1493,Rain,,1,,2019-04-28,14.0,,,,,,,,,2019-10-07,-0.6076485230144951,0.6886524816117343,-0.9901721229374656,0.0974937150794861,00:00:00,2019-04-28,2019-04-28,1398-2-8,1398,2,8,1,Spring,بهار,Ordibehesht,اردیبهشت,1397-98
AKH,Akhlamad,اخلمد,Rain Station,Quaraqum,Quaraqum,Mashhad Chenaran,6007,,40,674019.0234972528,4051606.0020532105,58.945394,36.594085,1493,Rain,,1,,2019-04-28,14.0,,,,,,,,,2019-10-08,-28.27962719112655,0.9081726498854725,-5.376338316160104,0.15553569709233947,00:00:00,2019-04-28,2019-04-28,1398-2-8,1398,2,8,1,Spring,بهار,Ordibehesht,اردیبهشت,1397-98
BZG,Bazangan,بزنگان,ET Station,Quaraqum,Quaraqum,Gonbadli,6003,,41,269760.1430334566,4020134.122523784,60.435954,36.298733,1011,Rain,,1,,2018-01-04,3.5,,,,,,,,,2019-10-10,-1.7729401017535211,0.7644033666854184,-0.2740940294040409,0.20324475918622523,00:00:00,2018-01-04,2018-01-04,1396-10-14,1396,10,14,4,Winter,زمستان,Dey,دی,1396-97
BZG,Bazangan,بزنگان,ET Station,Quaraqum,Quaraqum,Gonbadli,6003,,41,269760.1430334566,4020134.122523784,60.435954,36.298733,1011,Rain,,1,,2018-01-30,7.5,,,,,,,,,2019-10-11,-25.262478618299514,1.0429296946582733,-4.297014836499133,0.09251446632824499,00:00:00,2018-01-30,2018-01-30,1396-11-10,1396,11,10,4,Winter,زمستان,Bahman,بهمن,1396-97
BZG,Bazangan,بزنگان,ET Station,Quaraqum,Quaraqum,Gonbadli,6003,,41,269760.1430334566,4020134.122523784,60.435954,36.298733,1011,Rain,,1,,2018-03-27,5.0,,,,,,,,,2019-10-12,1.0667501190659476,0.9313656545632333,-0.07412279703803198,0.16374627335683137,00:00:00,2018-03-27,2018-03-27,1397-1-7,1397,1,7,1,Spring,بهار,Farvardin,فروردین,1396-97
BZG,Bazangan,بزنگان,ET Station,Quaraqum,Quaraqum,Gonbadli,6003,,41,269760.1430334566,4020134.122523784,60.435954,36.298733,1011,Rain,,1,,2018-03-27,5.0,,,,,,,,,2019-10-13,0.4078799570997139,0.92,-0.04383659652014634,0.22205880252491722,00:00:00,2018-03-27,2018-03-27,1397-1-7,1397,1,7,1,Spring,بهار,Farvardin,فروردین,1396-97
BZG,Bazangan,بزنگان,ET Station,Quaraqum,Quaraqum,Gonbadli,6003,,41,269760.1430334566,4020134.122523784,60.435954,36.298733,1011,Rain,,1,,2018-04-01,,,,,,,,,,2019-10-14,-14.308908279781711,2.1186239208945716,-3.2853550734973447,0.3610665914020108,00:00:00,2018-04-01,2018-04-01,1397-1-12,1397,1,12,1,Spring,بهار,Farvardin,فروردین,1396-97
BZG,Bazangan,بزنگان,ET Station,Quaraqum,Quaraqum,Gonbadli,6003,,41,269760.1430334566,4020134.122523784,60.435954,36.298733,1011,Rain,,1,,2018-04-14,27.5,,,,,,,,,2019-10-15,-1.784947607240168,0.9802380399848494,-0.42786913392685677,0.35672578304864333,00:00:00,2018-04-14,2018-04-14,1397-1-25,1397,1,25,1,Spring,بهار,Farvardin,فروردین,1396-97
BZG,Bazangan,بزنگان,ET Station,Quaraqum,Quaraqum,Gonbadli,6003,,41,269760.1430334566,4020134.122523784,60.435954,36.298733,1011,Rain,,1,,2018-04-14,27.5,,,,,,,,,2019-10-16,-15.138982139466426,0.6054300925788215,-3.9520997727709495,0.319974807086433,00:00:00,2018-04-14,2018-04-14,1397-1-25,1397,1,25,1,Spring,بهار,Farvardin,فروردین,1396-97
BZG,Bazangan,بزنگان,ET Station,Quaraqum,Quaraqum,Gonbadli,6003,,41,269760.1430334566,4020134.122523784,60.435954,36.298733,1011,Rain,,1,,2018-04-17,5.0,,,,,,,,,2019-10-17,-34.5154981483188,1.2319378538844128,-6.703654973433142,0.2755877416843257,00:00:00,2018-04-17,2018-04-17,1397-1-28,1397,1,28,1,Spring,بهار,Farvardin,فروردین,1396-97
BZG,Bazangan,بزنگان,ET Station,Quaraqum,Quaraqum,Gonbadli,6003,,41,269760.1430334566,4020134.122523784,60.435954,36.298733,1011,Rain,,1,,2018-04-17,5.0,,,,,,,,,2019-10-18,-39.673363966082846,1.2245049652818898,-7.45989822357754,0.20646261865044752,00:00:00,2018-04-17,2018-04-17,1397-1-28,1397,1,28,1,Spring,بهار,Farvardin,فروردین,1396-97
BZG,Bazangan,بزنگان,ET Station,Quaraqum,Quaraqum,Gonbadli,6003,,41,269760.1430334566,4020134.122523784,60.435954,36.298733,1011,Rain,,1,,2018-05-11,1.5,,,,,,,,,2019-10-19,20.012720581822524,0.5886324770177056,3.416926263064883,0.17927117690805727,00:00:00,2018-05-11,2018-05-11,1397-2-21,1397,2,21,1,Spring,بهار,Ordibehesht,اردیبهشت,1396-97
BZG,Bazangan,بزنگان,ET Station,Quaraqum,Quaraqum,Gonbadli,6003,,41,269760.1430334566,4020134.122523784,60.435954,36.298733,1011,Rain,,1,,2018-05-16,3.0,,,,,,,,,2019-10-20,-13.692440792860367,0.9584446719381701,-3.181478910197463,0.13176415205459574,00:00:00,2018-05-16,2018-05-16,1397-2-26,1397,2,26,1,Spring,بهار,Ordibehesht,اردیبهشت,1396-97
BZG,Bazangan,بزنگان,ET Station,Quaraqum,Quaraqum,Gonbadli,6003,,41,269760.1430334566,4020134.122523784,60.435954,36.298733,1011,Rain,,1,,2018-05-28,7.0,,,,,,,,,2019-10-21,-0.22326372707077116,0.6666452867204989,-0.07401942073132663,0.209318740943089,00:00:00,2018-05-28,2018-05-28,1397-3-7,1397,3,7,1,Spring,بهار,Khordad,خرداد,1396-97
BZG,Bazangan,بزنگان,ET Station,Quaraqum,Quaraqum,Gonbadli,6003,,41,269760.1430334566,4020134.122523784,60.435954,36.298733,1011,Rain,,1,,2018-10-31,48.0,,,,,,,,,2019-10-22,-35.476325495738266,1.0815913596024453,-5.796229176479063,0.22149734949505204,00:00:00,2018-10-31,2018-10-31,1397-8-9,1397,8,9,3,Autumn,پاییز,Aban,آبان,1397-98
BZG,Bazangan,بزنگان,ET Station,Quaraqum,Quaraqum,Gonbadli,6003,,41,269760.1430334566,4020134.122523784,60.435954,36.298733,1011,Rain,,1,,2018-11-25,1.0,,,,,,,,,2019-10-23,-51.66680641971309,1.028044212570646,-7.745153734919078,0.3229712095528022,00:00:00,2018-11-25,2018-11-25,1397-9-4,1397,9,4,3,Autumn,پاییز,Azar,آذر,1397-98
BZG,Bazangan,بزنگان,ET Station,Quaraqum,Quaraqum,Gonbadli,6003,,41,269760.1430334566,4020134.122523784,60.435954,36.298733,1011,Rain,,1,,2018-11-27,4.0,,,,,,,,,2019-10-24,-24.45244007493493,0.8790894596114776,-3.748002578152426,0.3334232625357743,00:00:00,2018-11-27,2018-11-27,1397-9-6,1397,9,6,3,Autumn,پاییز,Azar,آذر,1397-98
